,sampling_type,model,best_score,precision,recall,f1_score,best_params
0,base,SVM,0.9194158415841585,0.8940372811866868,0.9054752987337257,0.8995872201916608,"{'C': 20, 'kernel': 'poly'}"
1,base,DECISION_TREE,0.9204752475247524,0.8568089629292206,0.9046481307232954,0.8773030832380829,"{'criterion': 'entropy', 'max_depth': 6}"
2,base,ADABOOST,0.9134455445544554,0.9010699442921566,0.9184147893950296,0.9093617405434684,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}"
3,base,RANDOM_FOREST,0.9164851485148514,0.9010699442921566,0.9184147893950296,0.9093617405434684,{'n_estimators': 5}
4,base,LOGISTIC_REGRESSION,0.9005643564356435,0.8357595522725869,0.9014255579540353,0.8614680241674157,{'C': 5}
5,base,NAIVE_BAYES:BERNOULLINB,0.9154950495049505,0.8913940256045519,0.8722748042779038,0.8813603384302697,{'alpha': 0.01}
6,SMOTE,SVM,0.8963742236024844,0.9053713266198898,0.9051186017478152,0.9051038112177534,"{'C': 10, 'kernel': 'rbf'}"
7,SMOTE,DECISION_TREE,0.9038586956521739,0.9080454031282912,0.9076154806491885,0.9075911398246423,"{'criterion': 'gini', 'max_depth': 7}"
8,SMOTE,ADABOOST,0.9013548136645962,0.9092313092313092,0.9088639200998752,0.9088434610581847,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}"
9,SMOTE,RANDOM_FOREST,0.9019759316770186,0.9085204941044357,0.9082397003745318,0.9082239299631366,{'n_estimators': 1}
10,SMOTE,LOGISTIC_REGRESSION,0.8951242236024844,0.8979281472804496,0.8976279650436954,0.8976086549853464,{'C': 1}
11,SMOTE,NAIVE_BAYES:BERNOULLINB,0.8638936335403727,0.886901993940675,0.8851435705368289,0.8850129198966409,{'alpha': 10.0}
12,RandomOverSampler,SVM,0.900097049689441,0.9050986904296752,0.900749063670412,0.9004819272401217,"{'C': 20, 'kernel': 'poly'}"
13,RandomOverSampler,DECISION_TREE,0.9013509316770186,0.9056142393226148,0.9051186017478152,0.9050896079700034,"{'criterion': 'gini', 'max_depth': 7}"
14,RandomOverSampler,ADABOOST,0.901347049689441,0.9103681996752968,0.9101123595505618,0.9100983474694506,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}"
15,RandomOverSampler,RANDOM_FOREST,0.9044681677018633,0.9103681996752968,0.9101123595505618,0.9100983474694506,{'n_estimators': 10}
16,RandomOverSampler,LOGISTIC_REGRESSION,0.8863742236024846,0.8903807074536689,0.8901373283395755,0.8901202024626618,{'C': 1}
17,RandomOverSampler,NAIVE_BAYES:BERNOULLINB,0.8663858695652173,0.8945936028854937,0.8938826466916354,0.8938348261064817,{'alpha': 10.0}
18,NearMiss,SVM,0.8298170731707316,0.8919680373060015,0.8916256157635468,0.8916019417475729,"{'C': 10, 'kernel': 'rbf'}"
19,NearMiss,DECISION_TREE,0.8396951219512196,0.8804273753894081,0.8793103448275862,0.8792216859423854,"{'criterion': 'gini', 'max_depth': 6}"
20,NearMiss,ADABOOST,0.8323170731707317,0.8919680373060015,0.8916256157635468,0.8916019417475729,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'best', 'n_estimators': 2}"
21,NearMiss,RANDOM_FOREST,0.8642682926829268,0.884993191985995,0.8842364532019704,0.8841795393159539,{'n_estimators': 1}
22,NearMiss,LOGISTIC_REGRESSION,0.844451219512195,0.8891720054358376,0.8891625615763548,0.8891618891618892,{'C': 5}
23,NearMiss,NAIVE_BAYES:BERNOULLINB,0.881280487804878,0.8897639721169133,0.8866995073891626,0.8864763664656681,{'alpha': 0.01}
24,RandomUnderSampler,SVM,0.8817073170731706,0.8994897959183673,0.8990147783251232,0.8989847500106198,"{'C': 10, 'kernel': 'rbf'}"
25,RandomUnderSampler,DECISION_TREE,0.8940853658536586,0.9127724339461829,0.9113300492610837,0.9112525198552449,"{'criterion': 'gini', 'max_depth': None}"
26,RandomUnderSampler,ADABOOST,0.8866463414634147,0.9116896995603916,0.9113300492610837,0.9113106796116506,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'best', 'n_estimators': 2}"
27,RandomUnderSampler,RANDOM_FOREST,0.8818292682926829,0.9127724339461829,0.9113300492610837,0.9112525198552449,{'n_estimators': 10}
28,RandomUnderSampler,LOGISTIC_REGRESSION,0.8792682926829268,0.8917777292258393,0.8916256157635468,0.8916150952554301,{'C': 10}
29,RandomUnderSampler,NAIVE_BAYES:BERNOULLINB,0.8693902439024391,0.8722463750516115,0.8719211822660098,0.8718932038834952,{'alpha': 0.01}
30,SMOTEENN,SVM,0.9990099009900991,0.9990875912408759,0.9989130434782609,0.9989993093545197,"{'C': 1, 'kernel': 'linear'}"
31,SMOTEENN,DECISION_TREE,0.9990099009900991,1.0,1.0,1.0,"{'criterion': 'gini', 'max_depth': 6}"
32,SMOTEENN,ADABOOST,1.0,1.0,1.0,1.0,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}"
33,SMOTEENN,RANDOM_FOREST,0.9990099009900991,1.0,1.0,1.0,{'n_estimators': 10}
34,SMOTEENN,LOGISTIC_REGRESSION,0.9990099009900991,0.9990875912408759,0.9989130434782609,0.9989993093545197,{'C': 5}
35,SMOTEENN,NAIVE_BAYES:BERNOULLINB,0.9543168316831683,0.9534875458887617,0.9565694300929974,0.954172932330827,{'alpha': 0.01}
36,SMOTETomek,SVM,0.8926125776397515,0.8989292940647482,0.8982521847690388,0.8982089918781905,"{'C': 20, 'kernel': 'rbf'}"
37,SMOTETomek,DECISION_TREE,0.8944759316770187,0.8980466308288536,0.8970037453183521,0.8969362383384093,"{'criterion': 'gini', 'max_depth': 7}"
38,SMOTETomek,ADABOOST,0.8944642857142858,0.9009347108018835,0.9001248439450686,0.9000743828330036,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 2}"
39,SMOTETomek,RANDOM_FOREST,0.8951164596273292,0.9002648444039127,0.8995006242197254,0.8994526307910676,{'n_estimators': 5}
40,SMOTETomek,LOGISTIC_REGRESSION,0.872651397515528,0.8820866741094083,0.881398252184769,0.8813448056484208,{'C': 1}
41,SMOTETomek,NAIVE_BAYES:BERNOULLINB,0.8495225155279502,0.8704949418958036,0.867665418227216,0.8674122702912039,{'alpha': 0.01}
